Season,Club,WinHome,WinAway,Total_Won,Total_Draw,Total_FTHG,Total_FTAG,Total_G,Points,Avg_Goals,Total_HR,Total_HY
season-1718,Stoke,5,2,7,12,20,15,35,33,0.9210526315789473,1,56
season-1718,Swansea,6,2,8,9,17,11,28,33,0.7368421052631579,0,52
season-1718,Tottenham,13,10,23,8,40,34,74,77,1.9473684210526316,1,59
season-1718,Watford,7,4,11,8,27,17,44,41,1.1578947368421053,2,68
season-1718,West Brom,3,3,6,13,21,10,31,31,0.8157894736842105,1,60
season-1718,West Ham,7,3,10,12,24,24,48,42,1.263157894736842,0,61
season-1819,Arsenal,6,4,10,4,17,18,35,34,2.1875,0,31
season-1819,Bournemouth,4,3,7,2,14,11,25,23,1.5625,3,37
season-1819,Brighton,4,2,6,3,12,7,19,21,1.1875,2,26
season-1819,Burnley,2,1,3,3,9,6,15,12,0.9375,0,25
season-1819,Cardiff,4,0,4,2,12,3,15,14,0.9375,1,21
season-1819,Chelsea,6,4,10,4,19,14,33,34,2.0625,0,33
season-1819,Crystal Palace,1,2,3,3,4,9,13,12,0.8125,2,24
season-1819,Everton,5,1,6,6,16,7,23,24,1.4375,2,21
season-1819,Fulham,2,0,2,3,10,6,16,9,1.0,1,22
season-1819,Huddersfield,1,1,2,4,3,7,10,10,0.625,2,25
season-1819,Leicester,3,3,6,4,10,11,21,22,1.3125,3,30
season-1819,Liverpool,6,7,13,3,15,19,34,42,2.125,1,15
season-1819,Man City,8,5,13,2,30,15,45,41,2.8125,0,13
season-1819,Man United,4,3,7,5,14,14,28,26,1.75,0,30
season-1819,Newcastle,2,1,3,4,7,6,13,13,0.8125,1,18
season-1819,Southampton,0,1,1,6,6,7,13,9,0.8125,1,26
season-1819,Tottenham,4,8,12,0,11,19,30,36,1.875,0,25
season-1819,Watford,4,2,6,3,11,9,20,21,1.25,1,29
season-1819,West Ham,4,2,6,3,14,9,23,21,1.4375,0,28
season-1819,Wolves,3,3,6,4,10,7,17,22,1.0625,2,31
